"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"154",25,3000,5,2,2,2000,2,40,20,1
"155",25,3000,5,2,2,2000,2,40,20,1
"156",25,3000,5,3,4,2000,2,40,20,2
"157",25,3000,5,3,3,2000,2,40,20,1
"158",25,3000,5,3,3,2000,2,40,20,1
"159",25,3000,5,3,3,2000,2,40,20,1
"160",25,3000,5,3,3,2000,2,40,20,1
"161",25,3000,5,0,0,2000,2,40,20,1
"162",25,3000,5,0,1,2000,2,40,20,0
"163",25,3000,5,0,1,2000,2,40,20,0
"164",25,3000,5,0,0,2000,2,40,20,1
"165",25,3000,5,0,1,2000,2,40,20,0
"166",25,3000,5,1,1,2000,2,40,20,1
"167",25,3000,5,1,2,2000,2,40,20,2
"168",25,3000,5,1,1,2000,2,40,20,1
"169",25,3000,5,1,1,2000,2,40,20,1
"170",25,3000,5,1,1,2000,2,40,20,1
"171",25,3000,5,2,2,2000,2,40,20,1
"172",25,3000,5,2,2,2000,2,40,20,1
"173",25,3000,5,2,2,2000,2,40,20,1
"174",25,3000,5,2,2,2000,2,40,20,1
"175",25,3000,5,2,2,2000,2,40,20,1
"176",25,3000,5,3,3,2000,2,40,20,1
"177",25,3000,5,3,3,2000,2,40,20,1
"178",25,3000,5,3,3,2000,2,40,20,1
"179",25,3000,5,3,3,2000,2,40,20,1
"180",25,3000,5,3,3,2000,2,40,20,1
"181",25,3000,5,0,1,2000,2,40,20,0
"182",25,3000,5,0,0,2000,2,40,20,1
"183",25,3000,5,0,1,2000,2,40,20,0
"184",25,3000,5,0,2,2000,2,40,20,0
"185",25,3000,5,0,2,2000,2,40,20,0
"186",25,3000,5,1,1,2000,2,40,20,1
"187",25,3000,5,1,1,2000,2,40,20,1
"188",25,3000,5,1,2,2000,2,40,20,2
"189",25,3000,5,1,2,2000,2,40,20,2
"190",25,3000,5,1,1,2000,2,40,20,1
"191",25,3000,5,2,3,2000,2,40,20,2
"192",25,3000,5,2,2,2000,2,40,20,1
