"","Nyears","startPop","noise","nbreaksin","nbreaksout","startK","startR","changeK","changeR","victory"
"1932",25,3000,80,2,1,2000,2,40,20,0
"1933",25,3000,80,2,2,2000,2,40,20,4
"1934",25,3000,80,2,3,2000,2,40,20,0
"1935",25,3000,80,2,3,2000,2,40,20,2
"1936",25,3000,80,3,1,2000,2,40,20,0
"1937",25,3000,80,3,3,2000,2,40,20,4
"1938",25,3000,80,3,2,2000,2,40,20,0
"1939",25,3000,80,3,1,2000,2,40,20,0
"1940",25,3000,80,3,2,2000,2,40,20,3
"1941",25,3000,80,0,3,2000,2,40,20,0
"1942",25,3000,80,0,3,2000,2,40,20,0
"1943",25,3000,80,0,1,2000,2,40,20,0
"1944",25,3000,80,0,1,2000,2,40,20,0
"1945",25,3000,80,0,2,2000,2,40,20,0
"1946",25,3000,80,1,2,2000,2,40,20,2
"1947",25,3000,80,1,3,2000,2,40,20,2
"1948",25,3000,80,1,2,2000,2,40,20,0
"1949",25,3000,80,1,0,2000,2,40,20,0
"1950",25,3000,80,1,1,2000,2,40,20,1
"1951",25,3000,80,2,1,2000,2,40,20,1
"1952",25,3000,80,2,1,2000,2,40,20,1
"1953",25,3000,80,2,2,2000,2,40,20,0
"1954",25,3000,80,2,2,2000,2,40,20,4
"1955",25,3000,80,2,3,2000,2,40,20,0
"1956",25,3000,80,3,2,2000,2,40,20,1
"1957",25,3000,80,3,3,2000,2,40,20,4
"1958",25,3000,80,3,3,2000,2,40,20,0
"1959",25,3000,80,3,2,2000,2,40,20,0
"1960",25,3000,80,3,2,2000,2,40,20,0
"1961",25,3000,80,0,0,2000,2,40,20,1
"1962",25,3000,80,0,2,2000,2,40,20,0
"1963",25,3000,80,0,3,2000,2,40,20,0
"1964",25,3000,80,0,3,2000,2,40,20,0
"1965",25,3000,80,0,1,2000,2,40,20,0
"1966",25,3000,80,1,0,2000,2,40,20,0
"1967",25,3000,80,1,2,2000,2,40,20,0
"1968",25,3000,80,1,3,2000,2,40,20,0
"1969",25,3000,80,1,2,2000,2,40,20,0
"1970",25,3000,80,1,1,2000,2,40,20,0
"1971",25,3000,80,2,2,2000,2,40,20,4
"1972",25,3000,80,2,1,2000,2,40,20,0
"1973",25,3000,80,2,3,2000,2,40,20,2
"1974",25,3000,80,2,3,2000,2,40,20,2
